iter	Passed	Remaining
0	2	271
1	5	277
2	8	263
3	10	245
4	12	235
5	14	229
6	16	223
7	19	221
8	21	220
9	24	217
10	26	213
11	28	208
12	31	207
13	34	209
14	36	207
15	39	207
16	42	205
17	44	202
18	46	199
19	49	196
20	51	193
21	53	190
22	55	187
23	58	184
24	60	180
25	62	177
26	64	174
27	66	170
28	68	167
29	70	164
30	72	160
31	73	156
32	75	153
33	77	151
34	80	149
35	82	147
36	84	144
37	86	141
38	89	139
39	91	137
40	93	134
41	94	130
42	95	127
43	97	124
44	99	121
45	101	119
46	103	116
47	105	114
48	108	113
49	112	112
50	114	110
51	116	107
52	118	105
53	120	103
54	122	99
55	123	97
56	126	95
57	128	93
58	131	91
59	132	88
60	134	86
61	136	83
62	137	80
63	140	78
64	142	76
65	144	74
66	146	71
67	148	69
68	149	67
69	151	64
70	153	62
71	154	60
72	156	57
73	158	55
74	159	53
75	161	50
76	162	48
77	164	46
78	165	43
79	166	41
80	168	39
81	169	37
82	170	34
83	172	32
84	173	30
85	174	28
86	176	26
87	177	24
88	178	22
89	180	20
90	181	17
91	183	15
92	185	13
93	186	11
94	188	9
95	189	7
96	191	5
97	192	3
98	193	1
99	195	0
